iter	RMSE
245	1702.522793
246	1700.813955
247	1698.318097
248	1696.111071
249	1693.988394
250	1691.972892
251	1689.656994
252	1688.045049
253	1686.132317
254	1683.900565
255	1681.618085
256	1679.758011
257	1677.401895
258	1675.738664
259	1672.970753
260	1670.465231
261	1669.134104
262	1666.139867
263	1663.914225
264	1661.453243
265	1659.181098
266	1656.742485
267	1655.239095
268	1650.937585
269	1648.278252
270	1646.051294
271	1644.883699
272	1643.475256
273	1640.335421
274	1638.907286
275	1636.9369
276	1635.099534
277	1633.008869
278	1630.183871
279	1628.619059
280	1627.495864
281	1625.601452
282	1623.604917
283	1622.088491
284	1620.206017
285	1618.346577
286	1615.868608
287	1613.157412
288	1611.267072
289	1609.331534
290	1607.548863
291	1605.743061
292	1602.995645
293	1601.65747
294	1599.160132
295	1597.584297
296	1595.741762
297	1594.405044
298	1591.92889
299	1589.919941
300	1588.885281
301	1587.02992
302	1585.868108
303	1583.476463
304	1581.637457
305	1579.577268
306	1578.162327
307	1576.715449
308	1575.085974
309	1572.612468
310	1570.61648
311	1568.925837
312	1566.97629
313	1565.286873
314	1563.831347
315	1561.970432
316	1559.70996
317	1557.436311
318	1555.864511
319	1553.673714
320	1552.216975
321	1550.574378
322	1549.558771
323	1547.484384
324	1546.058617
325	1542.488322
326	1540.316135
327	1538.474892
328	1536.38222
329	1535.228504
330	1533.237707
331	1532.316739
332	1528.960054
333	1526.905859
334	1525.09232
335	1523.479107
336	1521.461511
337	1519.445993
338	1517.229224
339	1515.456909
340	1513.668911
341	1512.092849
342	1509.020081
343	1507.443893
344	1505.304861
345	1502.60998
346	1501.068213
347	1499.851818
348	1498.033045
349	1496.478564
350	1494.852743
351	1493.868012
352	1492.669664
353	1490.943485
354	1489.378218
355	1487.747289
356	1486.753894
357	1485.121207
358	1481.640957
359	1477.600346
360	1476.617098
361	1475.015302
362	1473.455303
363	1471.171233
364	1469.756861
365	1468.420504
366	1466.422702
367	1462.61672
368	1461.05903
369	1459.643365
370	1458.764018
371	1456.990012
372	1455.233118
373	1453.965089
374	1452.82601
375	1451.599044
376	1449.833716
377	1448.560195
378	1445.597576
379	1444.090472
380	1442.559646
381	1441.306984
382	1439.541934
383	1438.068923
384	1436.670959
385	1434.761646
386	1433.991255
387	1430.465641
388	1427.102023
389	1424.47924
390	1422.997744
391	1419.671575
392	1416.839941
393	1414.116019
394	1412.633842
395	1411.304145
396	1410.296116
397	1408.764189
398	1405.780125
399	1404.404245
400	1403.628109
401	1402.283883
402	1401.295296
403	1398.80093
404	1396.989819
405	1395.872932
406	1394.627744
407	1393.91148
408	1392.706674
409	1391.606226
410	1390.724909
411	1389.787627
412	1388.646543
413	1387.335618
414	1385.445744
415	1383.640274
416	1380.852213
417	1378.19125
418	1376.395047
419	1374.555495
420	1372.942039
421	1370.606502
422	1370.106799
423	1368.847359
424	1366.53494
425	1365.334276
426	1363.907962
427	1361.908098
428	1360.61737
429	1359.565465
430	1358.987431
431	1357.36811
432	1356.553707
433	1355.628411
434	1352.976971
435	1352.041663
436	1349.592871
437	1348.59619
438	1346.460343
439	1345.307614
440	1343.78352
441	1343.142188
442	1341.654377
443	1339.157832
444	1338.120284
445	1336.658137
446	1335.898255
447	1334.612259
448	1333.819554
449	1333.105549
450	1331.893595
451	1330.255632
452	1328.350732
453	1327.108476
454	1326.248648
455	1325.698464
456	1323.380199
457	1322.275261
458	1321.542118
459	1320.496081
460	1319.505183
461	1318.760155
462	1316.886444
463	1315.460098
464	1314.524898
465	1313.132089
466	1311.733117
467	1310.847338
468	1310.299871
469	1309.042036
470	1307.400246
471	1305.985656
472	1305.111182
473	1304.648939
474	1303.12454
475	1302.512804
476	1301.933144
477	1301.141867
478	1300.540296
479	1299.228109
480	1297.808451
481	1297.239238
482	1296.755385
483	1296.293485
484	1295.758821
485	1294.6308
486	1292.758671
487	1292.371009
488	1290.52847
489	1289.535609
490	1288.560917
491	1287.595568
492	1285.449065
493	1283.399554
494	1281.442293
495	1280.98225
496	1278.734909
497	1276.784626
498	1275.96095
499	1275.466952
500	1274.757689
501	1274.089888
502	1272.568233
503	1271.720584
504	1270.332859
505	1267.994612
506	1266.758976
507	1264.671841
508	1263.0036
509	1262.097133
510	1261.726886
511	1261.573788
512	1260.678631
513	1258.782266
514	1257.380063
515	1256.051227
516	1255.509082
517	1255.042546
518	1254.069373
519	1251.983513
520	1251.413091
521	1251.24755
522	1250.78428
523	1248.444753
524	1247.639356
525	1246.764504
526	1246.097453
527	1244.849097
528	1244.29162
529	1243.96607
530	1243.532889
531	1243.300702
532	1242.633
533	1240.794241
534	1239.037613
535	1238.25795
536	1237.527033
537	1235.803923
538	1235.121826
539	1234.45903
540	1234.082324
541	1233.764934
542	1232.558161
543	1232.00286
544	1229.685769
545	1228.57005
546	1227.410506
547	1227.093231
548	1226.288112
549	1225.331072
550	1224.286085
551	1222.473567
552	1220.521421
553	1220.190453
554	1218.829118
555	1217.719251
556	1217.343739
557	1216.804231
558	1216.247376
559	1215.635719
560	1215.444613
561	1214.681722
562	1213.957725
563	1211.793546
564	1211.273797
565	1211.1248
566	1210.8483
567	1210.320007
568	1209.123372
569	1208.356262
570	1206.995283
571	1205.747094
572	1204.605775
573	1203.160762
574	1202.808898
575	1202.234649
576	1201.83377
577	1200.34203
578	1199.899173
579	1199.513625
580	1198.625532
581	1198.567004
582	1197.732703
583	1197.704862
584	1197.105544
585	1196.565034
586	1195.84493
587	1194.985443
588	1194.725312
589	1193.128103
590	1192.050974
591	1190.526029
592	1189.933249
593	1189.800902
594	1188.029558
595	1187.945018
596	1186.677674
597	1186.403949
598	1186.299601
599	1185.223325
600	1184.026235
601	1183.040951
602	1181.873638
603	1180.996151
604	1180.238902
605	1179.71285
606	1179.128591
607	1178.070231
608	1176.49905
609	1176.246844
610	1175.273349
611	1174.774782
612	1174.217098
613	1172.912331
614	1171.365611
615	1170.114956
616	1169.380962
617	1168.713105
618	1167.305468
619	1166.658471
620	1165.773656
621	1164.098321
622	1163.757056
623	1163.524322
624	1163.017466
625	1162.047632
626	1161.891175
627	1160.635286
628	1158.961531
629	1158.119549
630	1157.678297
631	1157.577339
632	1157.152337
633	1156.442955
634	1156.115519
635	1156.023031
636	1154.838281
637	1152.739717
638	1151.107833
639	1149.712138
640	1149.056514
641	1148.515097
642	1147.335792
643	1146.322768
644	1145.089403
645	1144.381035
646	1143.727229
647	1142.977881
648	1142.569864
649	1142.139577
650	1141.570603
651	1140.517824
652	1139.792266
653	1138.856845
654	1137.227029
655	1135.267599
656	1134.227736
657	1133.569055
658	1132.164798
659	1130.240559
660	1128.959425
661	1127.85021
662	1127.19222
663	1126.826292
664	1125.974535
665	1125.681189
666	1124.896837
667	1124.540392
668	1123.047719
669	1122.74973
670	1122.377142
671	1121.60459
672	1121.238549
673	1119.69023
674	1119.591773
675	1119.224045
676	1118.755239
677	1118.560282
678	1117.712503
679	1117.498986
680	1116.14265
681	1115.439673
682	1114.057195
683	1112.921474
684	1111.659563
685	1111.041431
686	1110.648622
687	1110.061507
688	1109.261372
689	1108.213096
690	1108.00664
691	1107.547458
692	1106.284734
693	1106.021446
694	1104.606863
695	1103.986083
696	1103.232633
697	1102.05324
698	1101.890774
699	1101.255147
700	1100.554133
701	1100.310078
702	1099.750786
703	1098.518256
704	1097.009588
705	1095.535345
706	1095.154069
707	1093.704062
708	1093.203367
709	1092.424874
710	1091.814332
711	1091.116359
712	1089.927663
713	1089.046692
714	1088.077313
715	1087.367024
716	1087.294188
717	1086.612922
718	1086.223657
719	1085.305073
720	1084.851823
721	1084.721443
722	1083.668146
723	1082.426181
724	1081.511447
725	1080.44692
726	1080.204028
727	1078.959068
728	1077.488862
729	1076.668641
730	1076.199011
731	1075.757391
732	1075.012683
733	1074.301777
734	1073.328049
735	1071.578466
736	1070.239855
737	1069.7892
738	1067.945356
739	1066.988082
740	1066.531118
741	1065.217452
742	1064.907617
743	1063.927112
744	1063.661213
745	1063.528278
746	1062.048434
747	1061.304655
748	1059.845815
749	1058.926036
750	1058.476398
751	1057.865474
752	1057.480501
753	1056.783311
754	1056.632213
755	1056.063887
756	1055.210565
757	1054.780899
758	1053.975948
759	1053.430969
760	1052.159516
761	1051.672299
762	1051.310991
763	1050.945161
764	1050.479158
765	1049.139328
766	1048.243592
767	1047.902211
768	1046.946323
769	1046.532105
770	1046.161214
771	1045.032944
772	1044.222676
773	1042.958297
774	1042.718329
775	1041.646057
776	1040.720252
777	1040.613806
778	1040.121442
779	1039.348279
780	1039.059458
781	1038.824305
782	1038.746265
783	1038.096629
784	1036.857971
785	1035.300014
786	1034.097207
787	1033.489946
788	1033.243981
789	1032.533692
790	1032.253279
791	1031.850014
792	1030.599037
793	1029.589178
794	1029.029087
795	1028.218422
796	1027.874143
797	1027.574446
798	1027.404816
799	1026.080602
800	1025.473521
801	1025.007386
802	1024.642469
803	1023.929292
804	1023.262277
805	1022.406519
806	1022.029672
807	1021.325007
808	1019.208038
809	1018.598591
810	1018.030034
811	1017.39076
812	1017.076539
813	1017.039293
814	1016.871199
815	1016.385008
816	1015.95741
817	1015.780173
818	1014.873657
819	1013.734954
820	1013.115023
821	1012.33578
822	1011.917021
823	1010.934348
824	1010.732607
825	1009.19451
826	1008.274541
827	1007.700116
828	1007.264179
829	1006.633865
830	1006.501598
831	1005.922861
832	1005.668458
833	1005.400457
834	1005.279706
835	1004.650123
836	1004.41486
837	1003.843648
838	1002.534847
839	1002.322914
840	1001.909364
841	1001.58806
842	1000.730906
843	1000.240567
844	999.757446
845	998.9882264
846	998.7656274
847	998.6642095
848	997.8322084
849	996.9015118
850	996.72571
851	996.3442052
852	996.0252862
853	995.3037757
854	994.6296529
855	994.2952821
856	993.8334282
857	993.6899463
858	992.6927179
859	991.4451909
860	990.5812304
861	989.3076767
862	989.2194384
863	987.3620749
864	986.3040393
865	985.9410625
866	985.2643674
867	984.4845668
868	984.3830382
869	983.3020799
870	982.7246284
871	981.3940192
872	980.5046568
873	980.4118307
874	979.5497197
875	978.3683266
876	978.2580587
877	977.9400617
878	976.8086826
879	976.386846
880	975.6471539
881	975.3973077
882	973.8891453
883	973.7962164
884	973.5153423
885	973.3212449
886	972.836959
887	971.9528318
888	971.2980426
889	971.1914461
890	970.6135045
891	970.5222105
892	970.2369663
893	969.6643308
894	969.3529929
895	968.6991787
896	967.7845285
897	966.9687254
898	966.7507188
899	966.2386107
900	965.6618628
901	965.3728443
902	964.9305302
903	964.3777984
904	963.7890046
905	963.1783623
906	962.9489652
907	962.2215884
908	961.5380843
909	960.8297896
910	960.7739709
911	960.7419048
912	959.8847877
913	959.7264559
914	959.0676627
915	958.8724816
916	958.2020684
917	957.6627572
918	956.9419388
919	956.2628391
920	955.8434666
921	955.0935629
922	954.4861014
923	954.2629988
924	953.5406378
925	953.2379111
926	952.8802882
927	952.5537812
928	952.3179851
929	952.1643855
930	951.9095484
931	950.4315237
932	950.1582048
933	949.0910099
934	948.8509767
935	948.5082478
936	947.4035816
937	946.67959
938	945.4792769
939	945.1393016
940	944.3556323
941	944.0613794
942	943.5965205
943	942.7499289
944	942.1859625
945	941.9906448
946	941.4053431
947	941.1496665
948	940.3311311
949	939.5775097
950	939.1792943
951	938.4805311
952	938.2701609
953	938.0201499
954	937.5987786
955	936.8548785
956	935.5881307
957	934.984416
958	934.1980611
959	934.0876457
960	933.3382189
961	931.8136086
962	931.5201202
963	931.238003
964	930.9671619
965	930.317526
966	930.046545
967	929.2412426
968	928.7423118
969	928.465042
970	927.9705559
971	927.4336251
972	926.6412312
973	926.185025
974	925.3556492
975	924.853638
976	923.8987606
977	923.4016281
978	923.027061
979	922.1926336
980	921.8228189
981	921.5425316
982	920.4940489
983	919.7189899
984	919.4722377
985	918.9854653
986	918.9064689
987	918.8524229
988	918.3154585
989	917.7771319
990	917.4770645
991	916.8364687
992	916.5388093
993	915.9332
994	915.7135187
995	915.5821708
996	915.3583622
997	914.5595964
998	913.9540742
999	912.9505456
